trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1全日_08時30分_系統101,08:30:00,08:30:00,1015_02,1,グスクめぐりん,0,1
1全日_08時30分_系統101,08:31:00,08:31:00,1004_02,2,グスクめぐりん,0,0
1全日_08時30分_系統101,08:34:00,08:34:00,1023_01,3,グスクめぐりん,0,0
1全日_08時30分_系統101,08:35:00,08:35:00,1024_01,4,グスクめぐりん,0,0
1全日_08時30分_系統101,08:40:00,08:40:00,1008_01,5,グスクめぐりん,0,0
1全日_08時30分_系統101,08:42:00,08:42:00,1003_01,6,グスクめぐりん,0,0
1全日_08時30分_系統101,08:45:00,08:45:00,1016_02,7,グスクめぐりん,0,0
1全日_08時30分_系統101,08:50:00,08:50:00,1022_01,8,グスクめぐりん,0,0
1全日_08時30分_系統101,08:51:00,08:51:00,1001_01,9,グスクめぐりん,0,0
1全日_08時30分_系統101,08:55:00,08:55:00,1010_01,10,グスクめぐりん,0,0
1全日_08時30分_系統101,08:56:00,08:56:00,1025_02,11,グスクめぐりん,0,0
1全日_08時30分_系統101,08:57:00,08:57:00,1009_01,12,グスクめぐりん,0,0
1全日_08時30分_系統101,08:59:00,08:59:00,1006_01,13,グスクめぐりん,0,0
1全日_08時30分_系統101,09:02:00,09:02:00,1017_01,14,グスクめぐりん,0,0
1全日_08時30分_系統101,09:04:00,09:04:00,1011_02,15,グスクめぐりん,0,0
1全日_08時30分_系統101,09:06:00,09:06:00,1019_01,16,グスクめぐりん,0,0
1全日_08時30分_系統101,09:11:00,09:11:00,1026_01,17,グスクめぐりん,0,0
1全日_08時30分_系統101,09:13:00,09:13:00,1018_02,18,グスクめぐりん,0,0
1全日_08時30分_系統101,09:14:00,09:14:00,1012_02,19,グスクめぐりん,0,0
1全日_08時30分_系統101,09:16:00,09:16:00,1017_02,20,グスクめぐりん,0,0
1全日_08時30分_系統101,09:19:00,09:19:00,1006_01,21,グスクめぐりん,0,0
1全日_08時30分_系統101,09:21:00,09:21:00,1009_02,22,グスクめぐりん,0,0
1全日_08時30分_系統101,09:22:00,09:22:00,1025_01,23,グスクめぐりん,0,0
1全日_08時30分_系統101,09:23:00,09:23:00,1010_02,24,グスクめぐりん,0,0
1全日_08時30分_系統101,09:27:00,09:27:00,1001_01,25,グスクめぐりん,0,0
1全日_08時30分_系統101,09:28:00,09:28:00,1022_01,26,グスクめぐりん,0,0
1全日_08時30分_系統101,09:32:00,09:32:00,1016_01,27,グスクめぐりん,0,0
1全日_08時30分_系統101,09:36:00,09:36:00,1003_01,28,グスクめぐりん,0,0
1全日_08時30分_系統101,09:38:00,09:38:00,1008_01,29,グスクめぐりん,0,0
1全日_08時30分_系統101,09:41:00,09:41:00,1023_01,30,グスクめぐりん,0,0
1全日_08時30分_系統101,09:42:00,09:42:00,1024_01,31,グスクめぐりん,0,0
1全日_08時30分_系統101,09:45:00,09:45:00,1004_02,32,グスクめぐりん,0,0
1全日_08時30分_系統101,09:48:00,09:48:00,1015_02,33,グスクめぐりん,1,0
1全日_09時00分_系統201,09:00:00,09:00:00,1003_01,1,グスクめぐりん,0,1
1全日_09時00分_系統201,09:02:00,09:02:00,1008_01,2,グスクめぐりん,0,0
1全日_09時00分_系統201,09:06:00,09:06:00,1016_02,3,グスクめぐりん,0,0
1全日_09時00分_系統201,09:11:00,09:11:00,1006_01,4,グスクめぐりん,0,0
1全日_09時00分_系統201,09:15:00,09:15:00,1022_01,5,グスクめぐりん,0,0
1全日_09時00分_系統201,09:16:00,09:16:00,1001_01,6,グスクめぐりん,0,0
1全日_09時00分_系統201,09:20:00,09:20:00,1010_01,7,グスクめぐりん,0,0
1全日_09時00分_系統201,09:21:00,09:21:00,1025_02,8,グスクめぐりん,0,0
1全日_09時00分_系統201,09:22:00,09:22:00,1009_01,9,グスクめぐりん,0,0
1全日_09時00分_系統201,09:28:00,09:28:00,1007_01,10,グスクめぐりん,0,0
1全日_09時00分_系統201,09:29:00,09:29:00,1013_02,11,グスクめぐりん,0,0
1全日_09時00分_系統201,09:30:00,09:30:00,1021_02,12,グスクめぐりん,0,0
1全日_09時00分_系統201,09:32:00,09:32:00,1005_02,13,グスクめぐりん,0,0
1全日_09時00分_系統201,09:34:00,09:34:00,1020_02,14,グスクめぐりん,0,0
1全日_09時00分_系統201,09:37:00,09:37:00,1027_01,15,グスクめぐりん,0,0
1全日_09時00分_系統201,09:44:00,09:44:00,1028_01,16,グスクめぐりん,0,0
1全日_09時00分_系統201,09:48:00,09:48:00,1014_01,17,グスクめぐりん,0,0
1全日_09時00分_系統201,09:50:00,09:50:00,1001_01,18,グスクめぐりん,0,0
1全日_09時00分_系統201,09:51:00,09:51:00,1022_01,19,グスクめぐりん,0,0
1全日_09時00分_系統201,09:56:00,09:56:00,1010_01,20,グスクめぐりん,0,0
1全日_09時00分_系統201,09:57:00,09:57:00,1025_02,21,グスクめぐりん,0,0
1全日_09時00分_系統201,09:58:00,09:58:00,1009_01,22,グスクめぐりん,0,0
1全日_09時00分_系統201,10:00:00,10:00:00,1006_01,23,グスクめぐりん,0,0
1全日_09時00分_系統201,10:05:00,10:05:00,1016_01,24,グスクめぐりん,0,0
1全日_09時00分_系統201,10:09:00,10:09:00,1008_01,25,グスクめぐりん,0,0
1全日_09時00分_系統201,10:10:00,10:10:00,1003_02,26,グスクめぐりん,1,0
1全日_10時20分_系統101,10:20:00,10:20:00,1015_02,1,グスクめぐりん,0,1
1全日_10時20分_系統101,10:21:00,10:21:00,1004_02,2,グスクめぐりん,0,0
1全日_10時20分_系統101,10:24:00,10:24:00,1023_01,3,グスクめぐりん,0,0
1全日_10時20分_系統101,10:25:00,10:25:00,1024_01,4,グスクめぐりん,0,0
1全日_10時20分_系統101,10:30:00,10:30:00,1008_01,5,グスクめぐりん,0,0
1全日_10時20分_系統101,10:32:00,10:32:00,1003_01,6,グスクめぐりん,0,0
1全日_10時20分_系統101,10:35:00,10:35:00,1016_02,7,グスクめぐりん,0,0
1全日_10時20分_系統101,10:40:00,10:40:00,1022_01,8,グスクめぐりん,0,0
1全日_10時20分_系統101,10:41:00,10:41:00,1001_01,9,グスクめぐりん,0,0
1全日_10時20分_系統101,10:45:00,10:45:00,1010_01,10,グスクめぐりん,0,0
1全日_10時20分_系統101,10:46:00,10:46:00,1025_02,11,グスクめぐりん,0,0
1全日_10時20分_系統101,10:47:00,10:47:00,1009_01,12,グスクめぐりん,0,0
1全日_10時20分_系統101,10:49:00,10:49:00,1006_01,13,グスクめぐりん,0,0
1全日_10時20分_系統101,10:52:00,10:52:00,1017_01,14,グスクめぐりん,0,0
1全日_10時20分_系統101,10:54:00,10:54:00,1011_02,15,グスクめぐりん,0,0
1全日_10時20分_系統101,10:56:00,10:56:00,1019_01,16,グスクめぐりん,0,0
1全日_10時20分_系統101,11:01:00,11:01:00,1026_01,17,グスクめぐりん,0,0
1全日_10時20分_系統101,11:03:00,11:03:00,1018_02,18,グスクめぐりん,0,0
1全日_10時20分_系統101,11:04:00,11:04:00,1012_02,19,グスクめぐりん,0,0
1全日_10時20分_系統101,11:06:00,11:06:00,1017_02,20,グスクめぐりん,0,0
1全日_10時20分_系統101,11:09:00,11:09:00,1006_01,21,グスクめぐりん,0,0
1全日_10時20分_系統101,11:11:00,11:11:00,1009_02,22,グスクめぐりん,0,0
1全日_10時20分_系統101,11:12:00,11:12:00,1025_01,23,グスクめぐりん,0,0
1全日_10時20分_系統101,11:13:00,11:13:00,1010_02,24,グスクめぐりん,0,0
1全日_10時20分_系統101,11:17:00,11:17:00,1001_01,25,グスクめぐりん,0,0
1全日_10時20分_系統101,11:18:00,11:18:00,1022_01,26,グスクめぐりん,0,0
1全日_10時20分_系統101,11:22:00,11:22:00,1016_01,27,グスクめぐりん,0,0
1全日_10時20分_系統101,11:26:00,11:26:00,1003_01,28,グスクめぐりん,0,0
1全日_10時20分_系統101,11:28:00,11:28:00,1008_01,29,グスクめぐりん,0,0
1全日_10時20分_系統101,11:31:00,11:31:00,1023_01,30,グスクめぐりん,0,0
1全日_10時20分_系統101,11:32:00,11:32:00,1024_01,31,グスクめぐりん,0,0
1全日_10時20分_系統101,11:35:00,11:35:00,1004_02,32,グスクめぐりん,0,0
1全日_10時20分_系統101,11:38:00,11:38:00,1015_02,33,グスクめぐりん,1,0
1全日_10時40分_系統201,10:40:00,10:40:00,1003_01,1,グスクめぐりん,0,1
1全日_10時40分_系統201,10:42:00,10:42:00,1008_01,2,グスクめぐりん,0,0
1全日_10時40分_系統201,10:46:00,10:46:00,1016_02,3,グスクめぐりん,0,0
1全日_10時40分_系統201,10:51:00,10:51:00,1006_01,4,グスクめぐりん,0,0
1全日_10時40分_系統201,10:55:00,10:55:00,1022_01,5,グスクめぐりん,0,0
1全日_10時40分_系統201,10:56:00,10:56:00,1001_01,6,グスクめぐりん,0,0
1全日_10時40分_系統201,11:00:00,11:00:00,1010_01,7,グスクめぐりん,0,0
1全日_10時40分_系統201,11:01:00,11:01:00,1025_02,8,グスクめぐりん,0,0
1全日_10時40分_系統201,11:02:00,11:02:00,1009_01,9,グスクめぐりん,0,0
1全日_10時40分_系統201,11:08:00,11:08:00,1007_01,10,グスクめぐりん,0,0
1全日_10時40分_系統201,11:09:00,11:09:00,1013_02,11,グスクめぐりん,0,0
1全日_10時40分_系統201,11:10:00,11:10:00,1021_02,12,グスクめぐりん,0,0
1全日_10時40分_系統201,11:12:00,11:12:00,1005_02,13,グスクめぐりん,0,0
