route_id,service_id,trip_id,trip_headsign
naha4up_1,weekday,naha4up_trip_1,4up
naha4up_1,weekday,naha4up_trip_2,4up
naha4up_1,weekday,naha4up_trip_3,4up
naha4up_1,weekday,naha4up_trip_4,4up
naha4up_1,weekday,naha4up_trip_5,4up
naha4up_1,weekday,naha4up_trip_6,4up
naha4up_1,weekday,naha4up_trip_7,4up
naha4up_1,weekday,naha4up_trip_8,4up
naha4up_1,weekday,naha4up_trip_9,4up
naha4up_1,weekday,naha4up_trip_10,4up
naha4up_1,weekday,naha4up_trip_11,4up
naha4up_1,weekday,naha4up_trip_12,4up
naha4up_1,holiday,naha4up_trip_13,4up
naha4up_1,holiday,naha4up_trip_14,4up
naha4up_1,holiday,naha4up_trip_15,4up
naha4up_1,holiday,naha4up_trip_16,4up
naha4up_1,holiday,naha4up_trip_17,4up
naha4up_1,holiday,naha4up_trip_18,4up
naha4up_1,holiday,naha4up_trip_19,4up
naha4up_1,holiday,naha4up_trip_20,4up
naha4up_1,holiday,naha4up_trip_21,4up
naha4up_1,holiday,naha4up_trip_22,4up
naha4up_1,holiday,naha4up_trip_23,4up
naha4up_1,holiday,naha4up_trip_24,4up
naha4up_1,holiday,naha4up_trip_25,4up
naha4up_1,holiday,naha4up_trip_26,4up
naha4up_1,holiday,naha4up_trip_27,4up
naha4up_1,holiday,naha4up_trip_28,4up
