trip_id,arrival_time,departure_time,stop_id,stop_sequence
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_1,1
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_2,2
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_3,3
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_4,4
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_5,5
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_6,6
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_7,7
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_8,8
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_9,9
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_10,10
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_11,11
naha7up_trip_1,06:45:00,06:45:00,S3172,12
naha7up_trip_1,06:45:00,06:45:00,S5404,13
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_14,14
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_15,15
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_16,16
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_17,17
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_18,18
naha7up_trip_1,06:45:00,06:45:00,S4397,19
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_20,20
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_21,21
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_22,22
naha7up_trip_1,06:45:00,06:45:00,S3342,23
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_24,24
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_25,25
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_26,26
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_27,27
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_28,28
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_29,29
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_30,30
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_31,31
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_32,32
naha7up_trip_1,06:45:00,06:45:00,naha7up_stop_33,33
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_1,1
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_2,2
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_3,3
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_4,4
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_5,5
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_6,6
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_7,7
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_8,8
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_9,9
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_10,10
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_11,11
naha7up_trip_2,07:40:00,07:40:00,S3172,12
naha7up_trip_2,07:40:00,07:40:00,S5404,13
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_14,14
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_15,15
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_16,16
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_17,17
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_18,18
naha7up_trip_2,07:40:00,07:40:00,S4397,19
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_20,20
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_21,21
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_22,22
naha7up_trip_2,07:40:00,07:40:00,S3342,23
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_24,24
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_25,25
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_26,26
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_27,27
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_28,28
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_29,29
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_30,30
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_31,31
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_32,32
naha7up_trip_2,07:40:00,07:40:00,naha7up_stop_33,33
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_1,1
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_2,2
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_3,3
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_4,4
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_5,5
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_6,6
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_7,7
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_8,8
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_9,9
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_10,10
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_11,11
naha7up_trip_3,08:15:00,08:15:00,S3172,12
naha7up_trip_3,08:15:00,08:15:00,S5404,13
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_14,14
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_15,15
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_16,16
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_17,17
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_18,18
naha7up_trip_3,08:15:00,08:15:00,S4397,19
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_20,20
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_21,21
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_22,22
naha7up_trip_3,08:15:00,08:15:00,S3342,23
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_24,24
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_25,25
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_26,26
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_27,27
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_28,28
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_29,29
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_30,30
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_31,31
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_32,32
naha7up_trip_3,08:15:00,08:15:00,naha7up_stop_33,33
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_1,1
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_2,2
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_3,3
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_4,4
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_5,5
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_6,6
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_7,7
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_8,8
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_9,9
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_10,10
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_11,11
naha7up_trip_4,08:55:00,08:55:00,S3172,12
naha7up_trip_4,08:55:00,08:55:00,S5404,13
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_14,14
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_15,15
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_16,16
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_17,17
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_18,18
naha7up_trip_4,08:55:00,08:55:00,S4397,19
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_20,20
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_21,21
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_22,22
naha7up_trip_4,08:55:00,08:55:00,S3342,23
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_24,24
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_25,25
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_26,26
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_27,27
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_28,28
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_29,29
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_30,30
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_31,31
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_32,32
naha7up_trip_4,08:55:00,08:55:00,naha7up_stop_33,33
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_1,1
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_2,2
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_3,3
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_4,4
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_5,5
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_6,6
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_7,7
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_8,8
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_9,9
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_10,10
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_11,11
naha7up_trip_5,10:20:00,10:20:00,S3172,12
naha7up_trip_5,10:20:00,10:20:00,S5404,13
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_14,14
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_15,15
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_16,16
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_17,17
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_18,18
naha7up_trip_5,10:20:00,10:20:00,S4397,19
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_20,20
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_21,21
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_22,22
naha7up_trip_5,10:20:00,10:20:00,S3342,23
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_24,24
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_25,25
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_26,26
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_27,27
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_28,28
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_29,29
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_30,30
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_31,31
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_32,32
naha7up_trip_5,10:20:00,10:20:00,naha7up_stop_33,33
naha7up_trip_6,11:00:00,11:00:00,naha7up_stop_1,1
naha7up_trip_6,11:00:00,11:00:00,naha7up_stop_2,2
naha7up_trip_6,11:00:00,11:00:00,naha7up_stop_3,3
naha7up_trip_6,11:00:00,11:00:00,naha7up_stop_4,4
naha7up_trip_6,11:00:00,11:00:00,naha7up_stop_5,5
naha7up_trip_6,11:00:00,11:00:00,naha7up_stop_6,6
naha7up_trip_6,11:00:00,11:00:00,naha7up_stop_7,7
naha7up_trip_6,11:00:00,11:00:00,naha7up_stop_8,8
naha7up_trip_6,11:00:00,11:00:00,naha7up_stop_9,9
