route_id,service_id,trip_id,trip_headsign
naha99down_1,weekday,naha99down_trip_1,99down
naha99down_1,weekday,naha99down_trip_2,99down
naha99down_1,weekday,naha99down_trip_3,99down
naha99down_1,weekday,naha99down_trip_4,99down
naha99down_1,weekday,naha99down_trip_5,99down
naha99down_1,weekday,naha99down_trip_6,99down
naha99down_1,weekday,naha99down_trip_7,99down
naha99down_1,weekday,naha99down_trip_8,99down
naha99down_1,weekday,naha99down_trip_9,99down
naha99down_1,weekday,naha99down_trip_10,99down
naha99down_1,weekday,naha99down_trip_11,99down
naha99down_1,weekday,naha99down_trip_12,99down
naha99down_1,weekday,naha99down_trip_13,99down
naha99down_1,weekday,naha99down_trip_14,99down
naha99down_1,weekday,naha99down_trip_15,99down
naha99down_1,weekday,naha99down_trip_16,99down
naha99down_1,weekday,naha99down_trip_17,99down
naha99down_1,weekday,naha99down_trip_18,99down
naha99down_1,weekday,naha99down_trip_19,99down
naha99down_1,weekday,naha99down_trip_20,99down
naha99down_1,weekday,naha99down_trip_21,99down
naha99down_1,weekday,naha99down_trip_22,99down
naha99down_1,weekday,naha99down_trip_23,99down
naha99down_1,weekday,naha99down_trip_24,99down
naha99down_1,weekday,naha99down_trip_25,99down
naha99down_1,weekday,naha99down_trip_26,99down
naha99down_1,weekday,naha99down_trip_27,99down
naha99down_1,weekday,naha99down_trip_28,99down
naha99down_1,weekday,naha99down_trip_29,99down
naha99down_1,weekday,naha99down_trip_30,99down
naha99down_1,weekday,naha99down_trip_31,99down
naha99down_1,weekday,naha99down_trip_32,99down
naha99down_1,holiday,naha99down_trip_33,99down
naha99down_1,holiday,naha99down_trip_34,99down
naha99down_1,holiday,naha99down_trip_35,99down
naha99down_1,holiday,naha99down_trip_36,99down
naha99down_1,holiday,naha99down_trip_37,99down
naha99down_1,holiday,naha99down_trip_38,99down
naha99down_1,holiday,naha99down_trip_39,99down
naha99down_1,holiday,naha99down_trip_40,99down
naha99down_1,holiday,naha99down_trip_41,99down
naha99down_1,holiday,naha99down_trip_42,99down
naha99down_1,holiday,naha99down_trip_43,99down
naha99down_1,holiday,naha99down_trip_44,99down
naha99down_1,holiday,naha99down_trip_45,99down
naha99down_1,holiday,naha99down_trip_46,99down
naha99down_1,holiday,naha99down_trip_47,99down
naha99down_1,holiday,naha99down_trip_48,99down
naha99down_1,holiday,naha99down_trip_49,99down
naha99down_1,holiday,naha99down_trip_50,99down
naha99down_1,holiday,naha99down_trip_51,99down
naha99down_1,holiday,naha99down_trip_52,99down
naha99down_1,holiday,naha99down_trip_53,99down
