service_id,date,exception_type
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210101,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210111,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210211,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210223,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210429,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210503,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210504,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210505,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210623,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210722,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210723,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210809,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210920,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20210923,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20211103,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20211123,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20211231,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220101,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220102,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220103,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220110,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220210,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220223,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220321,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220429,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220503,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220504,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220505,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20220623,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20221231,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20230101,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20230102,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20230103,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20230503,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20230504,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20230505,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20230623,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20230717,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20230811,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20230918,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20231009,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20231103,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20231123,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20240101,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20240102,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20240103,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20240108,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20240212,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20240223,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20240320,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20240429,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20240503,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20240506,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20241231,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250101,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250102,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250103,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250104,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250105,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250211,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250224,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250320,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250429,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250505,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250506,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250721,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250811,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250915,2
平日（運休：慰霊の日、年末年始(12/31～1/3)）,20250923,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210101,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210111,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210211,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210223,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210326,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210329,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210330,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210331,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210405,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210406,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210429,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210503,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210504,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210505,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210721,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210722,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210723,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210724,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210726,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210725,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210727,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210728,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210729,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210730,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210731,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210801,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210802,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210803,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210804,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210805,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210806,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210807,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210808,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210809,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210810,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210811,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210812,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210813,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210814,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210815,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210816,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210817,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210818,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210819,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210820,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210821,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210822,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210823,2
平日（運休：慰霊の日、学校の夏休み・春休み・冬休み期間）,20210920,2
