fare_id,route_id,origin_id,destination_id
10574,337,S5034,S5022
10575,337,S5034,S5024
10576,337,S5034,S5026
10577,337,S5034,S5028
10578,337,S5034,S5030
10579,337,S5034,S5032
10580,337,S5034,S4978
10581,337,S5034,S4982
10582,337,S5034,S4994
10583,337,S5034,S4995
10584,337,S5034,S4997
10585,337,S5034,S4999
10586,337,S5034,S5000
10587,337,S5034,S5035
10588,337,S5022,S5024
10589,337,S5022,S5026
10590,337,S5022,S5028
10591,337,S5022,S5030
10592,337,S5022,S5032
10593,337,S5022,S4978
10594,337,S5022,S4982
10595,337,S5022,S4994
10596,337,S5022,S4995
10597,337,S5022,S4997
10598,337,S5022,S4999
10599,337,S5022,S5000
10600,337,S5022,S5035
10601,337,S5024,S5026
10602,337,S5024,S5028
10603,337,S5024,S5030
10604,337,S5024,S5032
10605,337,S5024,S4978
10606,337,S5024,S4982
10607,337,S5024,S4994
10608,337,S5024,S4995
10609,337,S5024,S4997
10610,337,S5024,S4999
10611,337,S5024,S5000
10612,337,S5024,S5035
10613,337,S5026,S5028
10614,337,S5026,S5030
10615,337,S5026,S5032
10616,337,S5026,S4978
10617,337,S5026,S4982
10618,337,S5026,S4994
10619,337,S5026,S4995
10620,337,S5026,S4997
10621,337,S5026,S4999
10622,337,S5026,S5000
10623,337,S5026,S5035
10624,337,S5028,S5030
10625,337,S5028,S5032
10626,337,S5028,S4978
10627,337,S5028,S4982
10628,337,S5028,S4994
10629,337,S5028,S4995
10630,337,S5028,S4997
10631,337,S5028,S4999
10632,337,S5028,S5000
10633,337,S5028,S5035
10634,337,S5030,S5032
10635,337,S5030,S4978
10636,337,S5030,S4982
10637,337,S5030,S4994
10638,337,S5030,S4995
10639,337,S5030,S4997
10640,337,S5030,S4999
10641,337,S5030,S5000
10642,337,S5030,S5035
10643,337,S5032,S4978
10644,337,S5032,S4982
10645,337,S5032,S4994
10646,337,S5032,S4995
10647,337,S5032,S4997
10648,337,S5032,S4999
10649,337,S5032,S5000
10650,337,S5032,S5035
10651,337,S4978,S4982
10652,337,S4978,S4994
10653,337,S4978,S4995
10654,337,S4978,S4997
10655,337,S4978,S4999
10656,337,S4978,S5000
10657,337,S4978,S5035
10658,337,S4982,S4994
10659,337,S4982,S4995
10660,337,S4982,S4997
10661,337,S4982,S4999
10662,337,S4982,S5000
10663,337,S4982,S5035
10664,337,S4994,S4995
10665,337,S4994,S4997
10666,337,S4994,S4999
10667,337,S4994,S5000
10668,337,S4994,S5035
10669,337,S4995,S4997
10670,337,S4995,S4999
10671,337,S4995,S5000
10672,337,S4995,S5035
10673,337,S4997,S4999
10674,337,S4997,S5000
10675,337,S4997,S5035
10676,337,S4999,S5000
10677,337,S4999,S5035
10678,337,S5000,S5035
10679,338,S4992,S4990
10680,338,S4992,S4988
10681,338,S4992,S4986
10682,338,S4992,S4984
10683,338,S4992,S4982
10684,338,S4992,S5008
10685,338,S4992,S5009
10686,338,S4992,S5012
10687,338,S4992,S5014
10688,338,S4992,S5016
10689,338,S4990,S4988
10690,338,S4990,S4986
10691,338,S4990,S4984
10692,338,S4990,S4982
10693,338,S4990,S5008
10694,338,S4990,S5009
10695,338,S4990,S5012
10696,338,S4990,S5014
10697,338,S4990,S5016
10698,338,S4988,S4986
10699,338,S4988,S4984
10700,338,S4988,S4982
10701,338,S4988,S5008
10702,338,S4988,S5009
10703,338,S4988,S5012
10704,338,S4988,S5014
10705,338,S4988,S5016
10706,338,S4986,S4984
10707,338,S4986,S4982
10708,338,S4986,S5008
10709,338,S4986,S5009
10710,338,S4986,S5012
10711,338,S4986,S5014
10712,338,S4986,S5016
10713,338,S4984,S4982
10714,338,S4984,S5008
10715,338,S4984,S5009
10716,338,S4984,S5012
10717,338,S4984,S5014
10718,338,S4984,S5016
10719,338,S4982,S5008
10720,338,S4982,S5009
10721,338,S4982,S5012
10722,338,S4982,S5014
10723,338,S4982,S5016
10724,338,S5008,S5009
10725,338,S5008,S5012
10726,338,S5008,S5014
10727,338,S5008,S5016
10728,338,S5009,S5012
10729,338,S5009,S5014
10730,338,S5009,S5016
10731,338,S5012,S5014
10732,338,S5012,S5016
10733,338,S5014,S5016
10734,339,S4977,S5433
10735,339,S4977,S4978
10736,339,S4977,S4980
10737,339,S4977,S4983
10738,339,S4977,S4985
10739,339,S4977,S4987
10740,339,S4977,S4989
10741,339,S4977,S4991
10742,339,S4977,S4993
10743,339,S4977,S4984
10744,339,S4977,S4994
10745,339,S4977,S4995
10746,339,S4977,S4997
10747,339,S4977,S4999
10748,339,S4977,S5000
10749,339,S4977,S5001
10750,339,S4977,S5003
10751,339,S4977,S5005
10752,339,S4977,S5007
10753,339,S4977,S5009
10754,339,S4977,S5011
10755,339,S4977,S5012
10756,339,S4977,S5014
10757,339,S4977,S5016
10758,339,S4977,S5015
10759,339,S4977,S5018
10760,339,S4977,S5019
10761,339,S4977,S5021
10762,339,S4977,S5022
10763,339,S4977,S5024
10764,339,S4977,S5026
10765,339,S4977,S5028
10766,339,S4977,S5030
10767,339,S4977,S5032
10768,339,S4977,S4977
10769,339,S5433,S4978
10770,339,S5433,S4980
10771,339,S5433,S4983
10772,339,S5433,S4985
10773,339,S5433,S4987
10774,339,S5433,S4989
10775,339,S5433,S4991
10776,339,S5433,S4993
10777,339,S5433,S4984
10778,339,S5433,S4994
10779,339,S5433,S4995
10780,339,S5433,S4997
10781,339,S5433,S4999
10782,339,S5433,S5000
10783,339,S5433,S5001
10784,339,S5433,S5003
10785,339,S5433,S5005
10786,339,S5433,S5007
10787,339,S5433,S5009
10788,339,S5433,S5011
10789,339,S5433,S5012
10790,339,S5433,S5014
10791,339,S5433,S5016
10792,339,S5433,S5015
10793,339,S5433,S5018
10794,339,S5433,S5019
10795,339,S5433,S5021
10796,339,S5433,S5022
10797,339,S5433,S5024
10798,339,S5433,S5026
10799,339,S5433,S5028
