shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_337_1,26.28416,127.81494,10001
shapes_337_1,26.28417,127.81498,10002
shapes_337_1,26.28366,127.81505,10003
shapes_337_1,26.28319,127.81502,10004
shapes_337_1,26.28315,127.81538,10005
shapes_337_1,26.28312,127.81552,10006
shapes_337_1,26.28261,127.81542,10007
shapes_337_1,26.28234,127.81535,10008
shapes_337_1,26.28191,127.81518,10009
shapes_337_1,26.2816,127.815,10010
shapes_337_1,26.28137,127.81484,10011
shapes_337_1,26.2811,127.81458,10012
shapes_337_1,26.28083,127.81432,10013
shapes_337_1,26.28045,127.81396,10014
shapes_337_1,26.28006,127.81356,10015
shapes_337_1,26.27977,127.81322,10016
shapes_337_1,26.27948,127.81272,10017
shapes_337_1,26.27903,127.81185,10018
shapes_337_1,26.27898,127.81175,10019
shapes_337_1,26.27898,127.81175,20001
shapes_337_1,26.2788,127.81136,20002
shapes_337_1,26.27859,127.81091,20003
shapes_337_1,26.27823,127.81008,20004
shapes_337_1,26.27763,127.80865,20005
shapes_337_1,26.27741,127.80811,20006
shapes_337_1,26.27728,127.8078,20007
shapes_337_1,26.27719,127.80753,20008
shapes_337_1,26.27715,127.80733,20009
shapes_337_1,26.27714,127.80704,20010
shapes_337_1,26.27718,127.80676,20011
shapes_337_1,26.27726,127.80652,20012
shapes_337_1,26.27731,127.80638,20013
shapes_337_1,26.27723,127.80624,20014
shapes_337_1,26.27705,127.80578,20015
shapes_337_1,26.27696,127.80533,20016
shapes_337_1,26.27688,127.80506,20017
shapes_337_1,26.27683,127.80488,20018
shapes_337_1,26.27682,127.80486,20019
shapes_337_1,26.27682,127.80486,30001
shapes_337_1,26.27674,127.80458,30002
shapes_337_1,26.27659,127.80426,30003
shapes_337_1,26.27652,127.80413,30004
shapes_337_1,26.2763,127.80385,30005
shapes_337_1,26.27601,127.80346,30006
shapes_337_1,26.27573,127.80305,30007
shapes_337_1,26.27543,127.80262,30008
shapes_337_1,26.27525,127.80234,30009
shapes_337_1,26.27496,127.80196,30010
shapes_337_1,26.27475,127.80169,30011
shapes_337_1,26.27463,127.80156,30012
shapes_337_1,26.27463,127.80156,40001
shapes_337_1,26.2746,127.80153,40002
shapes_337_1,26.27415,127.80105,40003
shapes_337_1,26.27403,127.80107,40004
shapes_337_1,26.27371,127.80079,40005
shapes_337_1,26.27357,127.80065,40006
shapes_337_1,26.27351,127.80055,40007
shapes_337_1,26.27344,127.80038,40008
shapes_337_1,26.27344,127.80037,40009
shapes_337_1,26.27329,127.79998,40010
shapes_337_1,26.27323,127.79984,40011
shapes_337_1,26.27308,127.79936,40012
shapes_337_1,26.27304,127.79926,40013
shapes_337_1,26.27304,127.79926,50001
shapes_337_1,26.27304,127.79926,50002
shapes_337_1,26.27304,127.7992,50003
shapes_337_1,26.27296,127.79898,50004
shapes_337_1,26.2728,127.79866,50005
shapes_337_1,26.27251,127.79818,50006
shapes_337_1,26.27235,127.79794,50007
shapes_337_1,26.27223,127.7978,50008
shapes_337_1,26.2721,127.79767,50009
shapes_337_1,26.27185,127.79744,50010
shapes_337_1,26.27171,127.79731,50011
shapes_337_1,26.27153,127.79711,50012
shapes_337_1,26.2714,127.7969,50013
shapes_337_1,26.27134,127.79674,50014
shapes_337_1,26.2713,127.79658,50015
shapes_337_1,26.27123,127.79621,50016
shapes_337_1,26.27122,127.79614,50017
shapes_337_1,26.27121,127.79605,50018
shapes_337_1,26.27113,127.79576,50019
shapes_337_1,26.27113,127.79576,60001
shapes_337_1,26.27113,127.79576,60002
shapes_337_1,26.27101,127.79551,60003
shapes_337_1,26.27077,127.79513,60004
shapes_337_1,26.27048,127.79472,60005
shapes_337_1,26.27043,127.79466,60006
shapes_337_1,26.27043,127.79465,60007
shapes_337_1,26.27041,127.79462,60008
shapes_337_1,26.27013,127.79423,60009
shapes_337_1,26.26983,127.79383,60010
shapes_337_1,26.26953,127.79349,60011
shapes_337_1,26.26944,127.79336,60012
shapes_337_1,26.26928,127.79322,60013
shapes_337_1,26.26901,127.79294,60014
shapes_337_1,26.26809,127.79207,60015
shapes_337_1,26.26761,127.79162,60016
shapes_337_1,26.26749,127.79151,60017
shapes_337_1,26.26743,127.79146,60018
shapes_337_1,26.26713,127.79118,60019
shapes_337_1,26.26713,127.79118,70001
shapes_337_1,26.26707,127.79112,70002
shapes_337_1,26.26695,127.79101,70003
shapes_337_1,26.26676,127.79083,70004
shapes_337_1,26.26663,127.79073,70005
shapes_337_1,26.26651,127.79066,70006
shapes_337_1,26.26637,127.79061,70007
shapes_337_1,26.26623,127.79057,70008
shapes_337_1,26.26605,127.79053,70009
shapes_337_1,26.26552,127.7904,70010
shapes_337_1,26.26519,127.79031,70011
shapes_337_1,26.26515,127.7903,70012
shapes_337_1,26.26492,127.79024,70013
shapes_337_1,26.26473,127.7902,70014
shapes_337_1,26.26434,127.79012,70015
shapes_337_1,26.26378,127.79001,70016
shapes_337_1,26.26398,127.78946,70017
shapes_337_1,26.26341,127.78911,70018
shapes_337_1,26.26284,127.78876,70019
shapes_337_1,26.26151,127.78791,70020
shapes_337_1,26.26102,127.7876,70021
shapes_337_1,26.26059,127.78734,70022
shapes_337_1,26.26043,127.78726,70023
shapes_337_1,26.26043,127.78726,80001
shapes_337_1,26.26004,127.78705,80002
shapes_337_1,26.25915,127.78656,80003
shapes_337_1,26.2586,127.78627,80004
shapes_337_1,26.25807,127.78598,80005
shapes_337_1,26.2573,127.78557,80006
shapes_337_1,26.25696,127.7854,80007
shapes_337_1,26.25662,127.78525,80008
shapes_337_1,26.25594,127.78502,80009
shapes_337_1,26.25526,127.78482,80010
shapes_337_1,26.25535,127.78462,80011
shapes_337_1,26.25543,127.78445,80012
shapes_337_1,26.25551,127.78434,80013
shapes_337_1,26.25555,127.78431,80014
shapes_337_1,26.25555,127.78431,90001
shapes_337_1,26.25551,127.78434,90002
shapes_337_1,26.25543,127.78445,90003
shapes_337_1,26.25535,127.78462,90004
shapes_337_1,26.255453001174647,127.78440713882448,90005
shapes_337_1,26.255645439994197,127.78418719768526,90006
shapes_337_1,26.255693549649276,127.78387606143953,90007
shapes_337_1,26.25567430578966,127.78372049331666,90008
shapes_337_1,26.255592519350607,127.78357028961183,90009
shapes_337_1,26.25549148896408,127.78327524662019,90010
shapes_337_1,26.255270184000757,127.78285682201387,90011
shapes_337_1,26.25497190273094,127.78249740600587,90012
shapes_337_1,26.254721730752703,127.78272807598115,90013
shapes_337_1,26.2544908022946,127.78297483921052,90014
shapes_337_1,26.25415403080363,127.7832591533661,90015
shapes_337_1,26.254019321933846,127.78338789939882,90016
shapes_337_1,26.25379801416581,127.78314650058748,90017
shapes_337_1,26.253721037452,127.78307676315309,90018
shapes_337_1,26.253687360123667,127.78303384780885,90019
shapes_337_1,26.253369830548024,127.78276562690736,90020
shapes_337_1,26.253288042486453,127.7826637029648,90021
shapes_337_1,26.25318701009559,127.7825564146042,90022
shapes_337_1,26.253042677956238,127.7824115753174,90023
shapes_337_1,26.25289353455716,127.7822506427765,90024
shapes_337_1,26.25276,127.7821,90025
shapes_337_1,26.25251,127.78179,90026
shapes_337_1,26.25243,127.78168,90027
shapes_337_1,26.25243,127.78168,100001
shapes_337_1,26.25217,127.78132,100002
shapes_337_1,26.25185,127.78083,100003
shapes_337_1,26.25174,127.78066,100004
shapes_337_1,26.25165,127.78043,100005
shapes_337_1,26.25158,127.78014,100006
shapes_337_1,26.25154,127.78,100007
shapes_337_1,26.2515,127.77984,100008
