trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
102dbd6cf6275f28294995e5fd61e669,06:50:00,06:50:00,S4992,1,,0,0
102dbd6cf6275f28294995e5fd61e669,06:53:00,06:53:00,S4990,2,,0,0
102dbd6cf6275f28294995e5fd61e669,06:55:00,06:55:00,S4988,3,,0,0
102dbd6cf6275f28294995e5fd61e669,06:58:00,06:58:00,S4986,4,,0,0
102dbd6cf6275f28294995e5fd61e669,07:03:00,07:03:00,S4984,5,,0,0
102dbd6cf6275f28294995e5fd61e669,07:06:00,07:06:00,S4982,6,,0,0
102dbd6cf6275f28294995e5fd61e669,07:10:00,07:10:00,S5008,7,,0,0
102dbd6cf6275f28294995e5fd61e669,07:13:00,07:13:00,S5009,8,,0,0
102dbd6cf6275f28294995e5fd61e669,07:14:00,07:14:00,S5012,9,,0,0
102dbd6cf6275f28294995e5fd61e669,07:16:00,07:16:00,S5014,10,,0,0
102dbd6cf6275f28294995e5fd61e669,07:19:00,07:19:00,S5016,11,,0,0
cce7ef5f8885432584de2ad46e2ae783,07:41:00,07:41:00,S4992,1,,0,0
cce7ef5f8885432584de2ad46e2ae783,07:44:00,07:44:00,S4990,2,,0,0
cce7ef5f8885432584de2ad46e2ae783,07:46:00,07:46:00,S4988,3,,0,0
cce7ef5f8885432584de2ad46e2ae783,07:49:00,07:49:00,S4986,4,,0,0
cce7ef5f8885432584de2ad46e2ae783,07:54:00,07:54:00,S4984,5,,0,0
cce7ef5f8885432584de2ad46e2ae783,07:57:00,07:57:00,S4982,6,,0,0
cce7ef5f8885432584de2ad46e2ae783,08:01:00,08:01:00,S5008,7,,0,0
cce7ef5f8885432584de2ad46e2ae783,08:04:00,08:04:00,S5009,8,,0,0
cce7ef5f8885432584de2ad46e2ae783,08:05:00,08:05:00,S5012,9,,0,0
cce7ef5f8885432584de2ad46e2ae783,08:07:00,08:07:00,S5014,10,,0,0
cce7ef5f8885432584de2ad46e2ae783,08:10:00,08:10:00,S5016,11,,0,0
3909df35b0a53310363519556c5287a0,06:50:00,06:50:00,S5034,1,,0,0
3909df35b0a53310363519556c5287a0,06:53:00,06:53:00,S5022,2,,0,0
3909df35b0a53310363519556c5287a0,06:55:00,06:55:00,S5024,3,,0,0
3909df35b0a53310363519556c5287a0,06:56:00,06:56:00,S5026,4,,0,0
3909df35b0a53310363519556c5287a0,06:57:00,06:57:00,S5028,5,,0,0
3909df35b0a53310363519556c5287a0,06:58:00,06:58:00,S5030,6,,0,0
3909df35b0a53310363519556c5287a0,07:01:00,07:01:00,S5032,7,,0,0
3909df35b0a53310363519556c5287a0,07:03:00,07:03:00,S4978,8,,0,0
3909df35b0a53310363519556c5287a0,07:06:00,07:06:00,S4982,9,,0,0
3909df35b0a53310363519556c5287a0,07:09:00,07:09:00,S4994,10,,0,0
3909df35b0a53310363519556c5287a0,07:12:00,07:12:00,S4995,11,,0,0
3909df35b0a53310363519556c5287a0,07:13:00,07:13:00,S4997,12,,0,0
3909df35b0a53310363519556c5287a0,07:17:00,07:17:00,S4999,13,,0,0
3909df35b0a53310363519556c5287a0,07:20:00,07:20:00,S5000,14,,0,0
720c22d60d16ffb99f0a455da9745fb5,07:41:00,07:41:00,S5034,1,,0,0
720c22d60d16ffb99f0a455da9745fb5,07:44:00,07:44:00,S5022,2,,0,0
720c22d60d16ffb99f0a455da9745fb5,07:46:00,07:46:00,S5024,3,,0,0
720c22d60d16ffb99f0a455da9745fb5,07:47:00,07:47:00,S5026,4,,0,0
720c22d60d16ffb99f0a455da9745fb5,07:48:00,07:48:00,S5028,5,,0,0
720c22d60d16ffb99f0a455da9745fb5,07:49:00,07:49:00,S5030,6,,0,0
720c22d60d16ffb99f0a455da9745fb5,07:52:00,07:52:00,S5032,7,,0,0
720c22d60d16ffb99f0a455da9745fb5,07:54:00,07:54:00,S4978,8,,0,0
720c22d60d16ffb99f0a455da9745fb5,07:57:00,07:57:00,S4982,9,,0,0
720c22d60d16ffb99f0a455da9745fb5,08:00:00,08:00:00,S4994,10,,0,0
720c22d60d16ffb99f0a455da9745fb5,08:03:00,08:03:00,S4995,11,,0,0
720c22d60d16ffb99f0a455da9745fb5,08:04:00,08:04:00,S4997,12,,0,0
720c22d60d16ffb99f0a455da9745fb5,08:08:00,08:08:00,S4999,13,,0,0
720c22d60d16ffb99f0a455da9745fb5,08:11:00,08:11:00,S5000,14,,0,0
720c22d60d16ffb99f0a455da9745fb5,08:16:00,08:16:00,S5035,15,,0,0
2e1416374b93dd229c1ecb696801647e,08:50:00,08:50:00,S4977,1,,0,0
2e1416374b93dd229c1ecb696801647e,08:51:00,08:51:00,S5433,2,,0,0
2e1416374b93dd229c1ecb696801647e,08:53:00,08:53:00,S4978,3,,0,0
2e1416374b93dd229c1ecb696801647e,08:54:00,08:54:00,S4980,4,,0,0
2e1416374b93dd229c1ecb696801647e,08:55:00,08:55:00,S4983,5,,0,0
2e1416374b93dd229c1ecb696801647e,08:58:00,08:58:00,S4985,6,,0,0
2e1416374b93dd229c1ecb696801647e,09:01:00,09:01:00,S4987,7,,0,0
2e1416374b93dd229c1ecb696801647e,09:04:00,09:04:00,S4989,8,,0,0
2e1416374b93dd229c1ecb696801647e,09:06:00,09:06:00,S4991,9,,0,0
2e1416374b93dd229c1ecb696801647e,09:08:00,09:08:00,S4993,10,,0,0
2e1416374b93dd229c1ecb696801647e,09:12:00,09:12:00,S4984,11,,0,0
2e1416374b93dd229c1ecb696801647e,09:16:00,09:16:00,S4994,12,,0,0
2e1416374b93dd229c1ecb696801647e,09:19:00,09:19:00,S4995,13,,0,0
2e1416374b93dd229c1ecb696801647e,09:20:00,09:20:00,S4997,14,,0,0
2e1416374b93dd229c1ecb696801647e,09:24:00,09:24:00,S5000,16,,0,0
2e1416374b93dd229c1ecb696801647e,09:30:00,09:30:00,S5001,17,,0,0
2e1416374b93dd229c1ecb696801647e,09:32:00,09:32:00,S5003,18,,0,0
2e1416374b93dd229c1ecb696801647e,09:34:00,09:34:00,S5005,19,,0,0
2e1416374b93dd229c1ecb696801647e,09:37:00,09:37:00,S5007,20,,0,0
2e1416374b93dd229c1ecb696801647e,09:40:00,09:40:00,S5009,21,,0,0
2e1416374b93dd229c1ecb696801647e,09:41:00,09:41:00,S5011,22,,0,0
2e1416374b93dd229c1ecb696801647e,09:44:00,09:44:00,S5012,23,,0,0
2e1416374b93dd229c1ecb696801647e,09:46:00,09:46:00,S5014,24,,0,0
2e1416374b93dd229c1ecb696801647e,09:49:00,09:49:00,S5016,25,,0,0
2e1416374b93dd229c1ecb696801647e,09:52:00,09:52:00,S5015,26,,0,0
2e1416374b93dd229c1ecb696801647e,09:55:00,09:55:00,S5018,27,,0,0
2e1416374b93dd229c1ecb696801647e,09:59:00,09:59:00,S5019,28,,0,0
2e1416374b93dd229c1ecb696801647e,10:04:00,10:04:00,S5021,29,,0,0
2e1416374b93dd229c1ecb696801647e,10:08:00,10:08:00,S5022,30,,0,0
2e1416374b93dd229c1ecb696801647e,10:11:00,10:11:00,S5024,31,,0,0
2e1416374b93dd229c1ecb696801647e,10:13:00,10:13:00,S5026,32,,0,0
2e1416374b93dd229c1ecb696801647e,10:14:00,10:14:00,S5028,33,,0,0
2e1416374b93dd229c1ecb696801647e,10:15:00,10:15:00,S5030,34,,0,0
2e1416374b93dd229c1ecb696801647e,10:17:00,10:17:00,S5032,35,,0,0
2e1416374b93dd229c1ecb696801647e,10:18:00,10:18:00,S5433,36,,0,0
2e1416374b93dd229c1ecb696801647e,10:19:00,10:19:00,S4977,37,,0,0
ef82b20553fa932444d6afc58cb28d09,10:40:00,10:40:00,S4977,1,,0,0
ef82b20553fa932444d6afc58cb28d09,10:41:00,10:41:00,S5433,2,,0,0
ef82b20553fa932444d6afc58cb28d09,10:43:00,10:43:00,S4978,3,,0,0
ef82b20553fa932444d6afc58cb28d09,10:44:00,10:44:00,S4980,4,,0,0
ef82b20553fa932444d6afc58cb28d09,10:45:00,10:45:00,S4983,5,,0,0
ef82b20553fa932444d6afc58cb28d09,10:48:00,10:48:00,S4985,6,,0,0
ef82b20553fa932444d6afc58cb28d09,10:51:00,10:51:00,S4987,7,,0,0
ef82b20553fa932444d6afc58cb28d09,10:54:00,10:54:00,S4989,8,,0,0
ef82b20553fa932444d6afc58cb28d09,10:56:00,10:56:00,S4991,9,,0,0
ef82b20553fa932444d6afc58cb28d09,10:58:00,10:58:00,S4993,10,,0,0
ef82b20553fa932444d6afc58cb28d09,11:02:00,11:02:00,S4984,11,,0,0
ef82b20553fa932444d6afc58cb28d09,11:06:00,11:06:00,S4994,12,,0,0
