stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
S5034,,ひが皮膚科クリニック前,,26.284196,127.814933,S5034,,,
S5022,,久場,,26.278942,127.811785,S5022,,,
S5024,,泊,,26.276802,127.804878,S5024,,,
S5026,,伊舎堂,,26.274593,127.801612,S5026,,,
S5028,,添石公園前,,26.273017,127.799281,S5028,,,
S5030,,中小前,,26.271107,127.795777,S5030,,,
S5032,,中学校前,,26.267116,127.791210,S5032,,,
S4978,,安里,,26.260401,127.787328,S4978,,,
S4982,,奥間（県道）,,26.255549,127.784307,S4982,,,
S4994,,県営団地前,,26.252349,127.781762,S4994,,,
S4995,,サンエー前,,26.249136,127.773582,S4995,,,
S4997,,おきぎん前,,26.246443,127.770958,S4997,,,
S4999,,琉大附属学校前,,26.244960,127.765723,S4999,,,
S5000,,琉大北口,,26.253916,127.764126,S5000,,,
S5035,,中部商業高校前,,26.256833,127.756111,S5035,,,
S4992,,伊集,,26.238667,127.776491,S4992,,,
S4990,,和宇慶,,26.241189,127.779864,S4990,,,
S4988,,南浜,,26.238697,127.783805,S4988,,,
S4986,,北浜,,26.238814,127.786071,S4986,,,
S4984,,津覇,,26.248606,127.782148,S4984,,,
S5008,,新垣（県道）,,26.269048,127.784929,S5008,,,
S5009,,営林署前,,26.277641,127.782905,S5009,,,
S5012,,第二登又,,26.281189,127.784618,S5012,,,
S5014,,野嵩一丁目,,26.286200,127.782562,S5014,,,
S5016,,普天間りうぼう,,26.289632,127.777653,S5016,,,
S4977,,吉の浦会館,,26.259000,127.791639,S4977,,,
S5433,,役場前,,26.262245,127.789852,S5433,,,
S4980,,奥間（国道）,,26.254286,127.784604,S4980,,,
S4983,,津覇,,26.248861,127.782358,S4983,,,
S4985,,北浜,,26.240680,127.786381,S4985,,,
S4987,,南浜,,26.238688,127.783716,S4987,,,
S4989,,和宇慶,,26.240881,127.779821,S4989,,,
S4991,,伊集,,26.238829,127.776769,S4991,,,
S4993,,ハートライフクリニック,,26.236500,127.772238,S4993,,,
S5001,,南上原,,26.253418,127.773457,S5001,,,
S5003,,売店前,,26.262106,127.775619,S5003,,,
S5005,,北上原,,26.268049,127.776938,S5005,,,
S5007,,新垣（新垣公民館前）,,26.269643,127.784697,S5007,,,
S5011,,サンヒルズ,,26.279010,127.784892,S5011,,,
S5015,,野嵩一丁目,,26.286242,127.782734,S5015,,,
S5018,,登又,,26.280850,127.786531,S5018,,,
S5019,,添石,,26.274500,127.797920,S5019,,,
S5021,,中城モール,,26.284628,127.816151,S5021,,,
S5033,,中学校前,,26.267084,127.791106,S5033,,,
S5031,,中小前,,26.271087,127.795506,S5031,,,
S5029,,添石公園前,,26.273113,127.799351,S5029,,,
S5027,,伊舎堂,,26.274613,127.801529,S5027,,,
S5025,,泊,,26.276916,127.805053,S5025,,,
S5023,,久場,,26.279252,127.812106,S5023,,,
S5020,,添石,,26.274470,127.798113,S5020,,,
S5017,,登又,,26.280761,127.786548,S5017,,,
S5013,,第二登又,,26.282311,127.784899,S5013,,,
S5010,,営林署前,,26.277465,127.782884,S5010,,,
S5006,,北上原,,26.268239,127.777176,S5006,,,
S5004,,売店前,,26.262133,127.775775,S5004,,,
S5002,,南上原,,26.253715,127.773824,S5002,,,
S4998,,おきぎん前,,26.246486,127.771025,S4998,,,
S4996,,サンエー前,,26.249250,127.773521,S4996,,,
S4981,,奥間（国道）,,26.256013,127.784978,S4981,,,
S4979,,安里,,26.259482,127.786628,S4979,,,
