stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
S4716,,南城市役所,,26.163703,127.769955,S4716,,,
S4659,,新里,,26.171673,127.771736,S4659,,,
S4602,,小谷,,26.175157,127.767665,S4602,,,
S4731,,馬天小学校前,,26.180668,127.769149,S4731,,,
S4727,,馬天入口,,26.183617,127.774403,S4727,,,
S4725,,馬天,,26.182496,127.775127,S4725,,,
S4655,,新開,,26.176967,127.773903,S4655,,,
S4662,,新里入口,,26.173969,127.774261,S4662,,,
S4787,,老人福祉センター入口,,26.171669,127.777957,S4787,,,
S4614,,兼久,,26.170297,127.780817,S4614,,,
S4635,,佐敷小学校前,,26.167998,127.786570,S4635,,,
S4654,,シュガーホール入口,,26.167803,127.788323,S4654,,,
S4633,,佐敷,,26.167832,127.792324,S4633,,,
S4701,,手登根,,26.170020,127.797331,S4701,,,
S4672,,第二手登根,,26.172040,127.799852,S4672,,,
S4783,,屋比久,,26.176433,127.799736,S4783,,,
S4703,,仲伊保,,26.182142,127.799462,S4703,,,
S4624,,久原,,26.185756,127.804084,S4624,,,
S5711,,あかし内科クリニック前,,26.187348,127.806769,S5711,,,
S4581,,海野入口,,26.188631,127.809230,S4581,,,
S4579,,海野,,26.189172,127.811528,S4579,,,
S4559,,板馬,,26.188904,127.817043,S4559,,,
S4688,,知名,,26.183495,127.818863,S4688,,,
S4550,,安座真,,26.178020,127.822106,S4550,,,
S4553,,あざまサンサンビーチ入口,,26.178135,127.825146,S4553,,,
S4692,,知念海洋レジャーセンター前,,26.173732,127.828972,S4692,,,
S4666,,斎場御嶽入口,,26.169270,127.826509,S4666,,,
S4622,,久手堅,,26.169655,127.822120,S4622,,,
S4696,,知念小学校前,,26.169707,127.820657,S4696,,,
S4722,,ニライカナイ橋,,26.167070,127.812531,S4722,,,
S4600,,沖縄刑務所前,,26.161478,127.803341,S4600,,,
S4736,,東つきしろ,,26.161008,127.793660,S4736,,,
S4698,,つきしろの街,,26.159789,127.791415,S4698,,,
S4718,,西つきしろ,,26.159224,127.788567,S4718,,,
S4699,,つきしろの街入口,,26.152317,127.789208,S4699,,,
S4604,,親慶原,,26.155106,127.781677,S4604,,,
S4606,,親慶原入口,,26.156395,127.780223,S4606,,,
S4647,,下親慶原,,26.161438,127.775297,S4647,,,
S4664,,新里坂,,26.163132,127.773733,S4664,,,
S4665,,新里坂,,26.163154,127.773800,S4665,,,
S4648,,下親慶原,,26.161248,127.775769,S4648,,,
S4607,,親慶原入口,,26.157030,127.779987,S4607,,,
S4605,,親慶原,,26.155193,127.781804,S4605,,,
