trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1平日_07時15分_系統1011,07:15:00,07:15:00,69_01,1,中部徳洲会病院方面,0,1,1
1平日_07時15分_系統1011,07:17:00,07:17:00,60_01,2,中部徳洲会病院方面,0,0,1
1平日_07時15分_系統1011,07:18:00,07:18:00,34_01,3,中部徳洲会病院方面,0,0,1
1平日_07時15分_系統1011,07:23:00,07:23:00,38_01,4,中部徳洲会病院方面,0,0,1
1平日_07時15分_系統1011,07:26:00,07:26:00,76_01,5,中部徳洲会病院方面,0,0,1
1平日_07時15分_系統1011,07:29:00,07:29:00,26_01,6,中部徳洲会病院方面,0,0,1
1平日_07時15分_系統1011,07:34:00,07:34:00,71_01,7,山内方面,0,0,1
1平日_07時15分_系統1011,07:39:00,07:39:00,53_01,8,山内方面,0,0,1
1平日_07時15分_系統1011,07:41:00,07:41:00,54_01,9,山内方面,0,0,1
1平日_07時15分_系統1011,07:42:00,07:42:00,79_01,10,山内方面,0,0,1
1平日_07時15分_系統1011,07:45:00,07:45:00,96_01,11,山内方面,0,0,1
1平日_07時15分_系統1011,07:48:00,07:48:00,56_01,12,山内方面,0,0,1
1平日_07時15分_系統1011,07:49:00,07:49:00,55_01,13,沖縄市役所方面,0,0,1
1平日_07時15分_系統1011,07:51:00,07:51:00,36_01,14,沖縄市役所方面,0,0,1
1平日_07時15分_系統1011,07:52:00,07:52:00,70_01,15,沖縄市役所方面,0,0,1
1平日_07時15分_系統1011,07:53:00,07:53:00,17_01,16,沖縄市役所方面,0,0,1
1平日_07時15分_系統1011,07:56:00,07:56:00,31_01,17,沖縄市役所方面,0,0,1
1平日_07時15分_系統1011,08:01:00,08:01:00,65_01,18,沖縄市役所方面,0,0,1
1平日_07時15分_系統1011,08:05:00,08:05:00,18_01,19,沖縄市役所方面,0,0,1
1平日_07時15分_系統1011,08:10:00,08:10:00,10_01,20,沖縄市役所方面,0,0,1
1平日_07時15分_系統1011,08:14:00,08:14:00,27_01,21,沖縄市役所方面,0,0,1
1平日_07時15分_系統1011,08:20:00,08:20:00,69_01,22,沖縄市役所方面,1,0,1
1平日_07時20分_系統2011,07:20:00,07:20:00,69_01,1,宮里方面,0,1,1
1平日_07時20分_系統2011,07:23:00,07:23:00,35_01,2,宮里方面,0,0,1
1平日_07時20分_系統2011,07:24:00,07:24:00,59_01,3,宮里方面,0,0,1
1平日_07時20分_系統2011,07:28:00,07:28:00,32_01,4,宮里方面,0,0,1
1平日_07時20分_系統2011,07:31:00,07:31:00,30_01,5,宮里方面,0,0,1
1平日_07時20分_系統2011,07:35:00,07:35:00,48_01,6,宮里方面,0,0,1
1平日_07時20分_系統2011,07:38:00,07:38:00,83_01,7,宮里方面,0,0,1
1平日_07時20分_系統2011,07:41:00,07:41:00,57_01,8,宮里方面,0,0,1
1平日_07時20分_系統2011,07:43:00,07:43:00,81_01,9,宮里方面,0,0,1
1平日_07時20分_系統2011,07:46:00,07:46:00,84_01,10,宮里方面,0,0,1
1平日_07時20分_系統2011,07:47:00,07:47:00,23_01,11,宮里方面,0,0,1
1平日_07時20分_系統2011,07:48:00,07:48:00,85_01,12,沖縄市役所方面,0,0,1
1平日_07時20分_系統2011,07:54:00,07:54:00,46_01,13,沖縄市役所方面,0,0,1
1平日_07時20分_系統2011,07:56:00,07:56:00,58_01,14,沖縄市役所方面,0,0,1
1平日_07時20分_系統2011,07:57:00,07:57:00,72_01,15,沖縄市役所方面,0,0,1
1平日_07時20分_系統2011,07:59:00,07:59:00,42_01,16,沖縄市役所方面,0,0,1
1平日_07時20分_系統2011,08:01:00,08:01:00,80_01,17,沖縄市役所方面,0,0,1
1平日_07時20分_系統2011,08:05:00,08:05:00,41_01,18,沖縄市役所方面,0,0,1
1平日_07時20分_系統2011,08:09:00,08:09:00,10_02,19,沖縄市役所方面,0,0,1
1平日_07時20分_系統2011,08:11:00,08:11:00,37_01,20,沖縄市役所方面,0,0,1
1平日_07時20分_系統2011,08:15:00,08:15:00,27_01,21,沖縄市役所方面,0,0,1
