stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
10_01,,BCコザ（市立図書館）,,26.34086,127.798798,10_01,,0,
10_02,,BCコザ（市立図書館）,,26.340877,127.798926,10_02,,0,
11_01,,Sky Synapse (スカイシナプス),,26.328817,127.833985,11_01,,0,
12_01,,TAPIC 沖縄リハビリテーションセンター病院,,26.31496,127.823678,12_01,,0,
13_01,,あわせモール前,,26.333562,127.834367,13_01,,0,
14_01,,アワセ第一デイサービス,,26.316,127.836452,14_01,,0,
15_01,,うえはら眼科前,,26.327015,127.81451,15_01,,0,
16_01,,かりゆし園前,,26.36629,127.81958,16_01,,0,
17_01,,コザ運動公園,,26.333195,127.791382,17_01,,0,
18_01,,コザ信用金庫胡屋支店前,,26.337459,127.8005,18_01,,0,
19_01,,ソフィアクリニック,,26.329901,127.812707,19_01,,0,
20_01,,ちばなクリニック,,26.363971,127.816804,20_01,,0,
21_01,,ちむわざ歯科前,,26.323935,127.825753,21_01,,0,
22_01,,ちゃんぷるー市場,,26.368264,127.816338,22_01,,0,
23_01,,ひが薬局美里店,,26.347111,127.81738,23_01,,0,
24_01,,ピザアントレ,,26.318913,127.825673,24_01,,0,
25_01,,ビジュル公園前,,26.320837,127.833279,25_01,,0,
26_01,,プラザハウス前,,26.319408,127.793254,26_01,,0,
27_01,,ミュージックタウン,,26.33572,127.79951,27_01,,0,
28_01,,メモリアルホール沖縄前,,26.3537,127.80801,28_01,,0,
29_01,,モーリアクラシック沖縄迎賓館,,26.356977,127.805423,29_01,,0,
30_01,,ユニオン宮里店,,26.341723,127.824179,30_01,,0,
31_01,,レフ沖縄byベッセルホテルズ,,26.3344785,127.7866729,31_01,,0,
32_01,,わしみ橋,,26.33614,127.8194,32_01,,0,
33_01,,愛聖クリニック,,26.32215,127.828895,33_01,,0,
34_01,,安慶田５丁目,,26.32743,127.810601,34_01,,0,
35_01,,安慶田バイパス（安室橋）,,26.332106,127.809229,35_01,,0,
36_01,,安立医院前,,26.327063,127.78702,36_01,,0,
37_01,,一番街・サンシティ,,26.33721,127.79914,37_01,,0,
38_01,,沖縄こどもの国,,26.32772,127.80292,38_01,,0,
39_01,,沖縄県総合運動公園 中央口,,26.306549,127.819461,39_01,,0,
40_01,,沖縄県総合運動公園 北口,,26.312239,127.816946,40_01,,0,
41_01,,沖縄市民会館,,26.343635,127.799731,41_01,,0,
41_02,,沖縄市民会館,,26.34497,127.800218,41_02,,0,
42_01,,嘉間良２丁目,,26.343623,127.805538,42_01,,0,
43_01,,海邦町自治会,,26.331477,127.834047,43_01,,0,
44_01,,株式会社 三和ハウス前,,26.384666,127.827579,44_01,,0,
45_01,,吉本工業前,,26.373345,127.826369,45_01,,0,
46_01,,銀天街（コザ十字路）,,26.338728,127.814827,46_01,,0,
