table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,ja-Hrkt,"おきなわしじゅんかんばす",5000020472115,,
agency,agency_name,en,"Okinawa City Cyclic Bus",5000020472115,,
stops,stop_name,ja-Hrkt,"びーしーこざ　しりつとしょかん",10_01,,
stops,stop_name,ja-Hrkt,"びーしーこざ　しりつとしょかん",10_02,,
stops,stop_name,ja-Hrkt,"すかいしなぷす",11_01,,
stops,stop_name,ja-Hrkt,"たぴっく おきなわりはびりてーしょんせんたーびょういん",12_01,,
stops,stop_name,ja-Hrkt,"あわせもーるまえ",13_01,,
stops,stop_name,ja-Hrkt,"あわせだいいちでいさーびす",14_01,,
stops,stop_name,ja-Hrkt,"うえはらがんかまえ",15_01,,
stops,stop_name,ja-Hrkt,"かりゆしえんまえ",16_01,,
stops,stop_name,ja-Hrkt,"こざうんどうこうえん",17_01,,
stops,stop_name,ja-Hrkt,"こざしんようきんこごやしてんまえ",18_01,,
stops,stop_name,ja-Hrkt,"そふぃあくりにっく",19_01,,
stops,stop_name,ja-Hrkt,"ちばなくりにっく",20_01,,
stops,stop_name,ja-Hrkt,"ちむわざしかまえ",21_01,,
stops,stop_name,ja-Hrkt,"ちゃんぷるーいちば",22_01,,
stops,stop_name,ja-Hrkt,"ひがやっきょくみさとてん",23_01,,
stops,stop_name,ja-Hrkt,"ぴざあんとれ",24_01,,
stops,stop_name,ja-Hrkt,"びじゅるこうえんまえ",25_01,,
stops,stop_name,ja-Hrkt,"ぷらざはうすまえ",26_01,,
stops,stop_name,ja-Hrkt,"みゅーじっくたうん",27_01,,
stops,stop_name,ja-Hrkt,"めもりあるほーるおきなわまえ",28_01,,
stops,stop_name,ja-Hrkt,"もーりあくらしっくおきなわげいひんかん",29_01,,
stops,stop_name,ja-Hrkt,"ゆにおんみやざとてん",30_01,,
stops,stop_name,ja-Hrkt,"れふおきなわばいべっせるほてるず",31_01,,
stops,stop_name,ja-Hrkt,"わしみばし",32_01,,
stops,stop_name,ja-Hrkt,"あいせいくりにっく",33_01,,
stops,stop_name,ja-Hrkt,"あげだごちょうめ",34_01,,
stops,stop_name,ja-Hrkt,"あげだばいぱすあむろばし",35_01,,
stops,stop_name,ja-Hrkt,"あだちいいんまえ",36_01,,
stops,stop_name,ja-Hrkt,"いちばんがい　さんしてぃ",37_01,,
stops,stop_name,ja-Hrkt,"おきなわこどものくに",38_01,,
stops,stop_name,ja-Hrkt,"おきなわけんそうごううんどうこうえん ちゅうおうぐち",39_01,,
stops,stop_name,ja-Hrkt,"おきなわけんそうごううんどうこうえん きたぐち",40_01,,
stops,stop_name,ja-Hrkt,"おきなわしみんかいかん",41_01,,
stops,stop_name,ja-Hrkt,"おきなわしみんかいかん",41_02,,
stops,stop_name,ja-Hrkt,"かまらにちょうめ",42_01,,
stops,stop_name,ja-Hrkt,"かいほうちょうじちかい",43_01,,
stops,stop_name,ja-Hrkt,"かぶしきがいしゃ さんわはうすまえ",44_01,,
stops,stop_name,ja-Hrkt,"よしもとこうぎょうまえ",45_01,,
stops,stop_name,ja-Hrkt,"ぎんてんがい　こざじゅうじろ",46_01,,
stops,stop_name,ja-Hrkt,"こじゃばすてい",47_01,,
stops,stop_name,ja-Hrkt,"こじゃつかざんちょう",48_01,,
stops,stop_name,ja-Hrkt,"くしばる",49_01,,
stops,stop_name,ja-Hrkt,"たかはらいっちょうめ",50_01,,
stops,stop_name,ja-Hrkt,"たかはらじゅうじろ (くだり)",51_01,,
stops,stop_name,ja-Hrkt,"たかはらじゅうじろ (のぼり)",52_01,,
stops,stop_name,ja-Hrkt,"こうそくやまざとばすてい",53_01,,
stops,stop_name,ja-Hrkt,"ごうめいがいしゃそうごうせんたー",54_01,,
stops,stop_name,ja-Hrkt,"やまうちさんちょうめ",55_01,,
stops,stop_name,ja-Hrkt,"やまうちじちかい",56_01,,
stops,stop_name,ja-Hrkt,"あざまつもと",57_01,,
stops,stop_name,ja-Hrkt,"しゃかいふくしせんたー",58_01,,
stops,stop_name,ja-Hrkt,"てるやにちょうめ",59_01,,
stops,stop_name,ja-Hrkt,"あらかきびょういんまえ",60_01,,
stops,stop_name,ja-Hrkt,"おおざとにちょうめ",61_01,,
stops,stop_name,ja-Hrkt,"ちばなろくちょうめ",62_01,,
stops,stop_name,ja-Hrkt,"ちばなじゅうじろ",63_01,,
stops,stop_name,ja-Hrkt,"いけはらこうみんかん",64_01,,
stops,stop_name,ja-Hrkt,"なかのまちじちかい",65_01,,
