trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
ec0aebbf42af449dbe1e27b5547bd071,07:30:00,07:30:00,S2674,1,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:31:00,07:31:00,S2675,2,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:32:00,07:32:00,S2676,3,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:34:00,07:34:00,S2677,4,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:35:00,07:35:00,S2678,5,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:37:00,07:37:00,S2679,6,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:38:00,07:38:00,S2680,7,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:39:00,07:39:00,S2681,8,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:40:00,07:40:00,S2682,9,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:47:00,07:47:00,S2683,10,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:55:00,07:55:00,S2684,11,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:57:00,07:57:00,S2685,12,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:58:00,07:58:00,S2686,13,,0,0
ec0aebbf42af449dbe1e27b5547bd071,07:59:00,07:59:00,S2687,14,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:00:00,08:00:00,S2688,15,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:03:00,08:03:00,S2689,16,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:09:00,08:09:00,S2690,17,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:12:00,08:12:00,S2682,18,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:13:00,08:13:00,S2681,19,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:14:00,08:14:00,S2680,20,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:15:00,08:15:00,S2679,21,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:17:00,08:17:00,S2678,22,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:18:00,08:18:00,S2677,23,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:20:00,08:20:00,S2676,24,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:21:00,08:21:00,S2675,25,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:22:00,08:22:00,S2674,26,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:23:00,08:23:00,S2680,27,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:24:00,08:24:00,S2681,28,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:25:00,08:25:00,S2682,29,,0,0
ec0aebbf42af449dbe1e27b5547bd071,08:28:00,08:28:00,S2690,30,,0,0
04e74671ec99a5d9426a38250bb332f3,09:00:00,09:00:00,S2674,1,,0,0
04e74671ec99a5d9426a38250bb332f3,09:01:00,09:01:00,S2675,2,,0,0
04e74671ec99a5d9426a38250bb332f3,09:02:00,09:02:00,S2676,3,,0,0
04e74671ec99a5d9426a38250bb332f3,09:04:00,09:04:00,S2677,4,,0,0
04e74671ec99a5d9426a38250bb332f3,09:05:00,09:05:00,S2678,5,,0,0
04e74671ec99a5d9426a38250bb332f3,09:07:00,09:07:00,S2679,6,,0,0
04e74671ec99a5d9426a38250bb332f3,09:08:00,09:08:00,S2680,7,,0,0
04e74671ec99a5d9426a38250bb332f3,09:09:00,09:09:00,S2681,8,,0,0
04e74671ec99a5d9426a38250bb332f3,09:10:00,09:10:00,S2682,9,,0,0
04e74671ec99a5d9426a38250bb332f3,09:17:00,09:17:00,S2683,10,,0,0
04e74671ec99a5d9426a38250bb332f3,09:25:00,09:25:00,S2684,11,,0,0
04e74671ec99a5d9426a38250bb332f3,09:27:00,09:27:00,S2685,12,,0,0
04e74671ec99a5d9426a38250bb332f3,09:28:00,09:28:00,S2686,13,,0,0
04e74671ec99a5d9426a38250bb332f3,09:29:00,09:29:00,S2687,14,,0,0
04e74671ec99a5d9426a38250bb332f3,09:30:00,09:30:00,S2688,15,,0,0
04e74671ec99a5d9426a38250bb332f3,09:33:00,09:33:00,S2689,16,,0,0
04e74671ec99a5d9426a38250bb332f3,09:38:00,09:38:00,S2690,17,,0,0
04e74671ec99a5d9426a38250bb332f3,09:41:00,09:41:00,S2682,18,,0,0
04e74671ec99a5d9426a38250bb332f3,09:42:00,09:42:00,S2681,19,,0,0
04e74671ec99a5d9426a38250bb332f3,09:43:00,09:43:00,S2680,20,,0,0
04e74671ec99a5d9426a38250bb332f3,09:44:00,09:44:00,S2679,21,,0,0
04e74671ec99a5d9426a38250bb332f3,09:46:00,09:46:00,S2678,22,,0,0
04e74671ec99a5d9426a38250bb332f3,09:47:00,09:47:00,S2677,23,,0,0
04e74671ec99a5d9426a38250bb332f3,09:49:00,09:49:00,S2676,24,,0,0
04e74671ec99a5d9426a38250bb332f3,09:50:00,09:50:00,S2675,25,,0,0
04e74671ec99a5d9426a38250bb332f3,09:51:00,09:51:00,S2674,26,,0,0
27b28dfb937912f5ea285ba84b291d40,11:00:00,11:00:00,S2674,1,,0,0
27b28dfb937912f5ea285ba84b291d40,11:01:00,11:01:00,S2675,2,,0,0
