stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
S2674,,祖納,,24.468204,123.002998,S2674,,,
S2675,,役場,,24.467742,123.004365,S2675,,,
S2676,,与小前,,24.466578,123.007896,S2676,,,
S2677,,DiDi,,24.469033,123.008585,S2677,,,
S2678,,西３,,24.469750,123.005528,S2678,,,
S2679,,ナンタ浜,,24.469333,123.000444,S2679,,,
S2680,,嶋仲,,24.468194,122.999111,S2680,,,
S2681,,製糖工場,,24.466472,122.994500,S2681,,,
S2682,,アイランド,,24.466194,122.991111,S2682,,,
S2683,,比川,,24.443500,122.981028,S2683,,,
S2684,,駐屯地,,24.448389,122.951972,S2684,,,
S2685,,久駐在所,,24.450963,122.946046,S2685,,,
S2686,,久部良港,,24.451782,122.943169,S2686,,,
S2687,,久小前,,24.453711,122.944038,S2687,,,
S2688,,久部良北,,24.453812,122.946682,S2688,,,
S2689,,月桃の里,,24.464350,122.955953,S2689,,,
S2690,,空港,,24.464792,122.979378,S2690,,,
